用户,文本内容,图片,视频,采集日期
山东交通广播,【中铁十四局参建的世界超级工程港珠澳大桥正式开通了！】10月23日，举世瞩目的超级工程港珠澳大桥开通。通车后，来自港澳地区的车辆，通过大桥跨越珠江口之后，将通过连接线接入珠海市区，再通过国家高速公路网转往全国各地。全长55公里的港珠澳大桥包括海中桥隧主体工程，以及香港、珠海、澳门三地口岸和连接线。由中铁十四局集团参建的港珠澳大桥珠海连接线便是大桥的引桥部分，主要工程包括前山河特大桥、加林山隧道和南湾互通立交工程等。工程人员介绍，港珠澳大桥横跨航运繁忙的珠江洋面水道，为了保证大型轮船正常通航，大桥桥孔多在百米以上，引桥就像匝道立交桥一样，将百米高处的桥上车辆缓缓引入珠海市区。全长1777米的前山河特大桥是连接线的重难点控制性工程，大桥设计为波形钢腹板连续梁，主跨160米，是国内跨度最大的波形钢腹板连续梁桥。该型桥梁的最大特点是腹板采用波形结构的钢板代替传统的钢筋混凝土结构，从而彻底解决了连续梁桥腹板开裂的质量通病。采用混凝土和波形钢板的组合结构，抗震性能大幅提高。作为城市桥梁，它最大的优点是可在不中断交通的情况下进行更换、维修。2016年9月，大桥顺利合龙。经过国内外专家评定，由中铁十四局集团总结的“大跨宽幅波形钢腹板 PC 箱梁桥施工控制关键技术”为“国际领先”水平。  2济南 · 朝山街 收起全文d,1540288645952.jpg/1540288645953.jpg/1540288645955.jpg/,,2018-10-23
成都日报锦观,【壮观！120秒航拍，带你俯瞰港珠澳大桥】#港珠澳大桥正式开通#！一段航拍，带你领略世界最长的跨海大桥。你好，港珠澳大桥！L人民日报的秒拍视频 @人民日报 ​,,1540288645962.mp4,2018-10-23
再嘗一點美夢x,#港珠澳大桥正式开通#曾经在大屿山远眺过大桥的雄姿  ​,1540288645965.jpg/,,2018-10-23
炒股六仙,港股上午吃掉了昨天的大阳线，港珠澳大桥都通车了，港股都不给点力道？？#港珠澳大桥正式开通# ​,1540288648496.jpg/,,2018-10-23
Daphne这一年都不能改名了,中国为啥要花1100亿建港珠澳大桥，世界瞩目的一刻，没看过的快看 #港珠澳大桥开通##港珠澳大桥##港珠澳大桥正式开通# O网页链接 ​,,,2018-10-23
小迪的迷妹一枚,#港珠澳大桥正式开通#我要去试试 2深圳·布吉公园 ​,,,2018-10-23
VanLee-Yu,#港珠澳大桥正式开通#基建狂魔兔 有点牛皮🇨🇳 ​,,,2018-10-23
小二无声哥,港珠澳大桥正式开通❤️❤️❤️我们真的太幸运了，这一世投生在这个时代的中国㊗️🇨🇳🇨🇳 ​,1540288648502.jpg/1540288648503.jpg/1540288648504.jpg/1540288648507.jpg/1540288648507.jpg/1540288648510.jpg/,,2018-10-23
中国新闻社,#港珠澳大桥#【一图解码“桥界巅峰”港珠澳大桥“技术流”】港珠澳大桥连接香港、澳门、珠海，是目前世界上最长的跨海大桥，被英国《卫报》赞为“新世界七大奇迹”之一。今日大桥正式开通，站在伶仃洋畔，海风拂面，戳图让我们一起领略这座大桥的壮观景象吧～（张舰元 何路曼） ​,1540288648513.jpg/,,2018-10-23
古明,港珠澳大桥正式开通，路通财通，厉害了我的国！ ​,1540288648517.jpg/,,2018-10-23
房地产最新热点,发布了头条文章：《港珠澳大桥开通仪式23日上午在广东珠海举行。港珠澳大桥正式开通》  O港珠澳大桥开通仪式23日上午在广东珠海举行。港珠澳大桥正式开通 ​,,,2018-10-23
军事豹,#港珠澳大桥开通#港珠澳大桥将于10月24日正式通车！全长55公里，世界第一跨海大桥，投资超1000亿人民币。厉害了我的国，感谢所有为“港珠澳大桥“付出的所有人，愿您们一生平安。我们一天天看见中国越来越强大，为我们的祖国自豪。云南人民发来贺电 L军事豹的微博视频 ​,,1540288648524.mp4,2018-10-23
金湾发布,#港珠澳大桥# 【港珠澳大桥正式开通！】从设计到建设历时十四年，大国工匠，超级工程，跨越伶仃洋，东接香港、西接广东珠海和澳门，总长55公里，这是世界上最长的跨海大桥！未来 感受湾区脉搏！未来 见证湾区宏图！未来 实现湾区发展！ ​,1540288648531.jpg/,,2018-10-23
汇福HFG,发布了头条文章：《“建筑奇迹”港珠澳大桥于明天正式开通！》 据新华社电港珠澳大桥管理局19日晚发布消息称，港珠澳大桥将于2018年10月24日上午9时正式通车。从2004年3月前期工作协调小组办公室成立，到2009年12月15日正式开工建设，港珠澳大桥从设计到正式通车前后历时14年。 O“建筑奇迹”港珠澳大桥于明天正式开通！ ​,,,2018-10-23
香港文匯網,【香港政界人士：以大桥沟通人心增强对国家向心力】#港珠澳大桥# 通车仪式23日在广东珠海举行，标志着在“一国两制”下，粤港澳三地首次合作共建、历经8年成就的大型跨境基建工程正式启用。香港政界人士高度评价大桥开通的意义，认为除交通网络的畅通将极大便利人员往来、促进区内融合外，更可以大桥沟通人心，增强港人对国家向心力。O网页链接 收起全文d,,,2018-10-23
黄医生v,#港珠澳大桥正式开通#你们见过这样的电话吗？古董！#18个同事共随礼1314元# 2重庆 · 城东街区 ​,1540288648539.jpg/,,2018-10-23
诗画浦江,港珠澳大桥正式开通现在的技术真是无法想象，太先进了！去香港澳门进了一大步 ​,,,2018-10-23
肇庆市旅游局,#港珠澳大桥正式开通# 带你飞越港珠澳大桥，感受这项伟大的世纪工程。连接#粤港澳大湾区# ，非常给力～美丽肇庆 L肇庆市旅游局的微博视频 ​,,1540288648543.mp4,2018-10-23
新京报动新闻,【港珠澳大桥正式开通！3D揭通行手册：要什么手续 花多少钱？】10月23日#港珠澳大桥#开通仪式在珠海举行。24日上午9时许，大桥将正式通车，24小时通关，可网上购票，方便快捷。具体怎么操作？以珠海直通港澳为例，非自驾游客可乘坐跨境直通巴士、珠海机场快线等到达珠海公路口岸，另外还有六条专线可共选择；随后通过检查就可出发了。戳视频，get车次票价等通关“秘籍”。（综合）#港珠澳大桥24日通车#@新京报L新京报动新闻的秒拍视频 收起全文d,,1540288648549.mp4,2018-10-23
炳炳水彩,#珠海水彩##珠海水彩##港珠澳大桥正式通车#          一座齐心桥   梦想桥终于开通了。今天在画面上纪念下这个特殊的日子          @珠海仁恒洲际酒店 @头条新闻 @拍珠海 @珠海特区报 @珠海同城 @珠海零距离 @新浪广东珠海 @珠海市文化体育旅游局 @DV现场 @珠海交通 2珠海·港珠澳大桥 收起全文d,1540288648552.jpg/1540288648553.jpg/1540288648554.jpg/1540288648557.jpg/1540288648558.jpg/1540288648561.jpg/1540288648564.jpg/,,2018-10-23
熊猫是猫,#港珠澳大桥正式开通#我在工地上班的时候就已经去过了 L熊猫是猫的秒拍视频 ​,,1540288648569.mp4,2018-10-23
卡卡股票,今天港珠澳大桥正式开通要想富，先修路。只有路修通了经济才能更有活力！打个比方：开通之前三地每年有1000万人次来往，开通之后交通便捷，来往人次增加到2000万人次，那么增加这1000万吃喝住行带动的都是GDP啊！所以我们大搞基建能够更好的盘活经济！ ​,1540288648571.jpg/,,2018-10-23
炒股六仙,大桥通了，财富就通了，未来要多关注这个板块#港珠澳大桥正式开通# ​,1540288648574.jpg/,,2018-10-23
